NSI,EVENT,Timestamp
354,TO_BE_INSTANTIATED,1595238615678
354,COMPUTING_RESOURCES,1595238620193
354,ALLOCATING_NS_VLS,1595238622826
354,CREATING_VNFS,1595238680209
354,CREATING_CONNECTIVITY,1595238762509
354,CONFIGURING_VNFS,1595238764994
354,ALLOCATED,1595238782162
416,TO_BE_INSTANTIATED,1595239090254
416,COMPUTING_RESOURCES,1595239185367
416,ALLOCATING_NS_VLS,1595239186233
416,CREATING_VNFS,1595239240358
416,CREATING_CONNECTIVITY,1595239302885
416,CONFIGURING_VNFS,1595239304950
416,ALLOCATED,1595239322146
416,TERMINATING_MONITORING,1595239424031
416,TERMINATING_VNFS,1595239424053
416,TERMINATING_CONNECTIVITY,1595239462337
416,REMOVING_NS_VLS,1595239464671
416,RELEASING_COMPUTED_RESOURCES,1595239487812
416,TERMINATED,1595239487855
354,TERMINATING_MONITORING,1595239660532
354,TERMINATING_VNFS,1595239660538
354,TERMINATING_CONNECTIVITY,1595239702450
354,REMOVING_NS_VLS,1595239704876
354,RELEASING_COMPUTED_RESOURCES,1595239726975
354,TERMINATED,1595239727020
354,TO_BE_INSTANTIATED,1595240193487
,,
354,TO_BE_INSTANTIATED,1595240752747
354,COMPUTING_RESOURCES,1595240756197
354,ALLOCATING_NS_VLS,1595240759210
354,CREATING_VNFS,1595240822205
354,CREATING_CONNECTIVITY,1595240905310
354,CONFIGURING_VNFS,1595240907815
354,ALLOCATED,1595240924437
416,TO_BE_INSTANTIATED,1595240990979
416,COMPUTING_RESOURCES,1595240994613
416,ALLOCATING_NS_VLS,1595240995835
416,CREATING_VNFS,1595241041970
416,CREATING_CONNECTIVITY,1595241104956
416,CONFIGURING_VNFS,1595241107015
416,ALLOCATED,1595241124431
416,TERMINATING_MONITORING,1595241235864
416,TERMINATING_VNFS,1595241235881
416,TERMINATING_CONNECTIVITY,1595241285690
416,REMOVING_NS_VLS,1595241288045
416,RELEASING_COMPUTED_RESOURCES,1595241308184
416,TERMINATED,1595241308222
354,TERMINATING_MONITORING,1595241448872
354,TERMINATING_VNFS,1595241448878
354,TERMINATING_CONNECTIVITY,1595241485625
354,REMOVING_NS_VLS,1595241488115
354,RELEASING_COMPUTED_RESOURCES,1595241507636
354,TERMINATED,1595241507682
354,TO_BE_INSTANTIATED,1595238615678.00
354,COMPUTING_RESOURCES,1595238620193.00
354,ALLOCATING_NS_VLS,1595238622826.00
354,CREATING_VNFS,1595238680209.00
354,CREATING_CONNECTIVITY,1595238762509.00
354,CONFIGURING_VNFS,1595238764994.00
354,ALLOCATED,1595238782162.00
416,TO_BE_INSTANTIATED,1595239090254.00
416,COMPUTING_RESOURCES,1595239185367.00
416,ALLOCATING_NS_VLS,1595239186233.00
416,CREATING_VNFS,1595239240358.00
416,CREATING_CONNECTIVITY,1595239302885.00
416,CONFIGURING_VNFS,1595239304950.00
416,ALLOCATED,1595239322146.00
416,TERMINATING_MONITORING,1595239424031.00
416,TERMINATING_VNFS,1595239424053.00
416,TERMINATING_CONNECTIVITY,1595239462337.00
416,REMOVING_NS_VLS,1595239464671.00
416,RELEASING_COMPUTED_RESOURCES,1595239487812.00
416,TERMINATED,1595239487855.00
354,TERMINATING_MONITORING,1595239660532.00
354,TERMINATING_VNFS,1595239660538.00
354,TERMINATING_CONNECTIVITY,1595239702450.00
354,REMOVING_NS_VLS,1595239704876.00
354,RELEASING_COMPUTED_RESOURCES,1595239726975.00
354,TERMINATED,1595239727020.00
,,
354,TO_BE_INSTANTIATED,1595189877929
354,COMPUTING_RESOURCES,1595189880460
354,ALLOCATING_NS_VLS,1595189883246
354,CREATING_VNFS,1595189948218
354,CREATING_CONNECTIVITY,1595190029469
354,CONFIGURING_VNFS,1595190167002
354,ALLOCATED,1595190186785
416,TO_BE_INSTANTIATED,1595190211688
416,COMPUTING_RESOURCES,1595190214045
416,ALLOCATING_NS_VLS,1595190214860
416,CREATING_VNFS,1595190267711
416,CREATING_CONNECTIVITY,1595190347264
416,CONFIGURING_VNFS,1595190396120
416,ALLOCATED,1595190411616
416,TERMINATING_MONITORING,1595190420060
416,TERMINATING_VNFS,1595190420066
416,TERMINATING_CONNECTIVITY,1595190451829
416,REMOVING_NS_VLS,1595190609451
416,RELEASING_COMPUTED_RESOURCES,1595190635472
416,TERMINATED,1595190635509
354,TERMINATING_MONITORING,1595190697761
354,TERMINATING_VNFS,1595190697774
354,TERMINATING_CONNECTIVITY,1595190731857
354,REMOVING_NS_VLS,1595190853007
354,RELEASING_COMPUTED_RESOURCES,1595190874769
354,TERMINATED,1595190874811
